Sl no.	District Name	Market Name	Commodity	Variety	Grade	Min Price (Rs./Quintal)	Max Price (Rs./Quintal)	Modal Price (Rs./Quintal)	Price Date
322	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4555	4555	4555	08-Jan-22
323	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4595	4595	4595	05-Jan-22
324	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4280	4280	4280	04-Jan-22
325	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4285	4935	4400	03-Jan-22
326	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5600	5600	5600	10-Jun-22
327	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5700	5700	5700	06-May-22
328	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5600	5900	5800	23-Mar-22
329	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5600	5800	5750	22-Feb-22
330	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5600	5800	5700	21-Feb-22
331	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5301	5301	5301	19-Feb-22
332	Chhatarpur	Chhatarpur	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2125	2125	2125	11-Apr-22
333	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4211	4390	4290	02-May-22
334	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	6090	5500	12-Apr-22
335	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5475	5200	07-Feb-22
336	Indore	Gautampura	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1800	2250	1925	08-Jun-22
337	Indore	Gautampura	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2000	2000	2000	05-Feb-22
338	Sagar	Jaisinagar	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1511	1511	1511	03-Jan-22
339	Sehore	Nasrullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5300	5300	5300	15-Jun-22
340	Sehore	Nasrullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4500	5240	5100	14-Jun-22
341	Sehore	Nasrullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4800	4800	4800	06-Jun-22
